time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2025-01-07 12:53:34.780 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,119851286528,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1736254414721,,, , , , , , , , , ,3145728,1377,3,3,2,3, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,11,52,67911792,2, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:54:34.790 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,3652, , , , , , , , , ,11,11, , , ,1,2,14, ,3462, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,119853248512,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1736254414721,,, , , , , , , , , ,3145728,109996,4,6,3,10, , , ,100,100,2,100, ,3,101, , , , , , , , , , ,4096,2,108599,104, , , , , , ,6,23,360872064,2, , , , , , ,3876, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,29, ,187, ,226,3123,262,2, , , , , , , , , 
2025-01-07 12:55:34.805 UTC, , , , , , , , , ,589,3288877,141328,1232, ,11, ,92, , , , , , , , , ,11,11, , , ,1,2,13, ,56, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,115026,119851003904,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115026,1736254414721,,, , , , , , , , , ,3145728,114996,6,6,3,6, , , ,2,2, ,2, ,3,5, , , , , , , , , , , , ,5000,6, , , , , , ,2,46,109230592,3, , , , , , ,102, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,8, ,6,24,8,2, , , , , , , , , 
2025-01-07 12:56:34.817 UTC, , , , , , , , , ,589,3288877,141328,1232, ,11, , , , , , , , , , , ,11,11, , , ,1,2,13, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,115026,119847141376,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115026,1736254414721,,, , , , , , , , , ,3145728,114996, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,121813504,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:57:34.833 UTC, , , , , , , , , ,589,3288877,141328,1232, ,11, , , , , , , , , , , ,11,11, , , ,1,2,13, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,115026,119836315648,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115026,1736254414721,,, , , , , , , , , ,3145728,114996, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,136493568,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:58:34.844 UTC, , , , , , , , , ,589,3288877,141328,1232, ,11, , , , , , , , , , , ,11,11, , , ,1,2,13, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,115026,119835947008,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115026,1736254414721,,, , , , , , , , , ,3145728,114996, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,156416512,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:59:34.854 UTC, , , , , , , , , ,589,3291173,143512,1344, ,11, ,47, , , , , , , , , ,11,11, , , ,1,2,13, ,32, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,117110,119843201024,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117110,1736254414721,,, , , , , , , , , ,3145728,117080,6,6,4,6, , , ,1,1, ,1, ,3,3, , , , , , , , , , , , ,2084,3, , , , , , , , ,177388032,1, , , , , , ,54, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,3, ,6,13,5,1, , , , , , , , , 
2025-01-07 13:00:34.864 UTC, , , , , , , , , ,589,3291173,143512,1344, ,11, ,3, , , , , , , , , ,11,11, , , ,1,2,13, ,2, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,117110,119838400512,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117110,1736254414721,,, , , , , , , , , ,3145728,117080,8,8,8,8, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , ,199408128,1, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , , , , , , , , , 
2025-01-07 13:01:34.880 UTC, , , , , , , , , ,589,3291173,143512,1344, ,11, , , , , , , , , , , ,11,11, , , ,1,2,13, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,117110,119832715264,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117110,1736254414721,,, , , , , , , , , ,3145728,117080, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,213039616,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 13:02:34.891 UTC, , , , , , , , , ,589,3294461,146688,1456, ,11, ,46, , , , , , , , , ,11,11, , , ,1,2,12, ,33, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,120210,119826620416,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,120210,1736254414721,,, , , , , , , , , ,3145728,120180,5,5,4,5, , , ,1,1, ,1, ,3,2, , , , , , , , , , , , ,3100,3, , , , , , , , ,234011136,1, , , , , , ,56, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,4, ,8,12,4,1, , , , , , , , , 
